Category,State, Description,Source
Emergency Management/Disaster Response,Vermont,"$3 million for Agency of Human Services for EMS services , like grants, training, and administrative services.",Legislation
Emergency Management/Disaster Response,Virginia,$33.7 million to the Department of Emergency Management - Other,State
Emergency Management/Disaster Response,Virginia,"$37 million to the Department of Emergency Management- Technical assistance, public education and preparedness for COVID-19 pandemic response",State
Emergency Management/Disaster Response,Virginia,$42.3 million to the Department of Emergency Management - Testing,State
Emergency Management/Disaster Response,Virginia,$97 million to the Department of Emergency Management - PPE,State
Emergency Management/Disaster Response,Washington,"$45 million to the Department of Health to pay for disaster response activities including required staffing, increased travel, equipment, and grants to local health jurisdictions and tribes; and to fund testing and contact tracing activities in the state, beginning in Yakima.",Governor
Emergency Management/Disaster Response,Wyoming,$5 million for OSHA compliance.,State
Health,Alabama,$1.2 million UAB Post-Acute Care Program.,State
Health,Alabama,$10.3 million for healthcare costs.,State
Health,Alabama,$10.6 PPE Production Expansion.,State
Health,Alabama,$16 million for the Medical Provider Program.,State
Health,Alabama,$37 million to statewide testing.,State
Health,Alabama,$5 million to the health department.,State
Health,Alabama,$50 million to hospitals.,State
Health,Alabama,$6 million for a mental health provider program.,State
Health,Alabama,$62.5 million for a nursing home program.,State
Health,Alabama,Approximately $18.3 million for nursing home testing,State
Health,Alaska,$1.3 million Blood Bank of America 'ê COVID.,State
Health,Alaska,$1.5 million DOTPF AMHS COVID'ê19 Testing and Supplies.,State
Health,Alaska,$1.9 million Medical Equipment and Supplies.,State
Health,Alaska,$13.9 million for COVID-19 Testing Services.,State
Health,Alaska,"$156,798 AKPH COVID Testing Machines.",State
Health,Alaska,$16 million Abbot COVID Testing Equipment.,State
Health,Alaska,"$178,500 Alaska State Hospital and Nursing Home Association COVID'ê19 EOC Support",State
Health,Alaska,$2 million Contact Investigation Services,State
Health,Alaska,"$30,000 AMYA HOCL Disinfectant Generation System",State
Health,Alaska,"$325,000 API Infection Control Protection.",State
Health,Alaska,$331.4 million in health related COVID-19 costs - Support ongoing response and mitigation efforts with federal receipts and maintain a contingency for potential unknown impacts. No RPL is required as DHSS has adequate authorization to accept federal receipts.,Governor
Health,Alaska,$4 million for Senior and Disability Services Surge Capacity.,State
Health,Alaska,"$50,000 for Hospital Preparedness.",State
Health,Alaska,"$649,175 PPE Christian Health Associates",State
Health,Alaska,$7.5 million Foundation Health Partners Grant,State
Health,Alaska,$8.1 million Personal Protective Equipment,State
Health,Arizona,"$70 million for Arizona Department of Health Services direct COVID-19 expenses (testing, contact tracing, surge capacity, etc.)",State
Health,Arizona,"$85 million for hospital staffing and overtime expenses, including an additional 500 nurses. Of this amount, $25 million was allocated on November 18, 2020, and $60 million was allocated on December 2, 2020",State
Health,Arkansas,$1.2 million for the Health Equity Response Team - Mobile Health Units.,State
Health,Arkansas,$1.5 million to the Department of Health to Replace other funding used for the purchase of PPE:CARES Act Funding was used to replace COVID-19 Rainy Day Funds which was provided originally .,State
Health,Arkansas,$10 million to the DFA - Disbursing Office to allow reimbursement for pre-approved PPE items.,State
Health,Arkansas,"$107 million for a Hospital Proposal to assist Arkansas hospitals currently enrolled in the Arkansas Medicaid Program to recover unreimbursed costs associated with treating COVID-19 patients and also to cover the costs associated with the demands of adopting new technology, such as telemedicine.",State
Health,Arkansas,$16 million to the Department of Health for a Contact Tracing Supplemental Funding Proposal.,State
Health,Arkansas,$20 million to Enhance Nursing Facilities Capacity due to COVID-19 Surge.,State
Health,Arkansas,$3.4 million to the Department of Administration for UAMS COVID-19 Antibodies Testing for Arkansas.,State
Health,Arkansas,$30 million to Enhance Hospital Facilities Capacity due to COVID-19 Surge.,State
Health,Arkansas,"$400,000 for a Statewide Marketing Campaign - Slow the Spread of COVID-19 - partnership between ADPHT/UAMS/Health.",State
Health,Arkansas,$45 million to the Department of Human Services for Nursing Facility Payments.,State
Health,Arkansas,$58 million to the Dept. of Health for Laboratory Testing & Supplies; Contact Tracing; IT Equipment,State
Health,Arkansas,"$617,067 to the Dept. of Human Services for Pediatric Immunization Assistance - Preventing COVID-19 Related Outbreaks of Vaccine Preventable Childhood Diseases.",State
Health,Arkansas,$66.6 million to the Department of Human Services for: 1) Direct Care Workers in Hospital Settings 2) Payments to Non-Healthcare Personnel in Hospital Settings 3) Non-Healthcare Personnel in LTSS Institutional Settings,State
Health,Arkansas,$7 million to the NW Arkansas Council to establish a COVID 19 Comprehensive Response Plan including testing and contact tracing for the Marshallese and Latinx communities,State
Health,Arkansas,$7.7 million to the Department of Human Services for Proposal for Care Continuity Initiative Payments for Ambulance Direct Care Workers (EMTs/Paramedics).,State
Health,Arkansas,$73.5 million to the Department of Finance and Administration - Disbursing Officer for the replacement of ither funding used for the purchase of PPE.,State
Health,California,$111 million for medical expenses.,State
Health,California,$22.5 million for nursing home assistance.,State
Health,California,$246.9 million to testing and contract tracing.,State
Health,California,$429.2 million for public health expenses.,State
Health,California,$662.6 million for Personal Protective Equipment.,State
Health,Colorado,"$2 million to CDHS for expenditures to comply with public health measures pertaining to maintaining veterans living facilities and other state facilities with congregate care, including relating to sanitation and improvement of social distancing measures.",State
Health,Connecticut,"$100 million to PPE is necessary for frontline workers and first responders. PPE includes a broad range of items with a focus on surgical masks, face masks, face shields, gowns, and gloves.",State
Health,Connecticut,"$230 million to expand access to testing, the funding provided by the CRF will be leveraged with FEMA Disaster Declaration Funding and direct funding made to the Department of Public Health to support the state's efforts in identifying additional testing capacity and increasing the use of existing testing platforms statewide. This will include working to develop new technologies, enhancing testing inventory and capacity, discovering who is carrying anti-bodies, and increasing efficiencies in the ordering, purchasing, and delivering of testing supplies;",State
Health,Connecticut,"$31.2 million will be sent to nursing homes, primarily in the form of increased Medicaid payments.",Media
Health,Connecticut,"$85 million for nursing homes through a series of initiatives. With the initiatives is a $600 per bed per day grant to COVID Recovery Facilities and Alternate COVID Recovery Facilities, which are exclusively serving people recovering from positive COVID cases. In addition, there are grant payments that approximate a 10% increase for April and 20% for May and June 2020 for nursing homes that are not COVID Recovery Facilities or Alternate COVID Recovery Facilities that can be used for: (a) employee wages, including staff retention incentive payments, overtime, and shift incentive payments; (b) new costs related to screening of visitors for COVID-19, personal protective equipment (PPE), and cleaning and housekeeping supplies; and (c) other COVID-related costs.",State
Health,Delaware,$48.4 million in healthcare grants.,State
Health,Delaware,$6.2 million for Division of Public Health Costs including the contact tracing program.,State
Health,Florida,$1.7 million to the Agency for Persons with Disabilities.,State
Health,Florida,$139 million to the Agency for Health Care Administration.,State
Health,Florida,$61.6 million to the Department of Health.,State
Health,Georgia,$1.3 million for COVID-19 testing costs.,State
Health,Georgia,"$114,020 for sanitation measures.",State
Health,Georgia,"$370,002 for public hospitals, clinics, and similar facilities.",State
Health,Georgia,$39 million for the costs of providing COVID-19 testing.,State
Health,Georgia,$54.2 million for establishing temporary public medical facilities.,State
Health,Georgia,$7.3 million for payroll expenses for public health/health care employees.,State
Health,Georgia,$9.7 million for additional sanitation measures for public facilities.,State
Health,Georgia,$98.7 million for PPE.,State
Health,Hawaii,"$10 million to the Department of Business, Economic Development & Tourism for innovation grants to create a supply chain of cleaning supplies and PPE.",State
Health,Hawaii,$35 million to the Department of Health for COVID-19 testing supplies and equipment.,State
Health,Hawaii,"$35 million to the Department of Health for Contract tracing expansion, payroll for COVID19 response unit and DOH staff overtime, isolation and quarantine sites.",State
Health,Hawaii,"$5.1 million to the Department of Public Safety for inmate testing, cleaning & disinfection/sanitation; contracting physicians and nurses.",State
Health,Hawaii,$54 million to the Department of Defense for the SCRF PPE.,State
Health,Hawaii,$7 million to the Department of Defense for PPE.,State
Health,Hawaii,"$891,907 to the Hawai'i Systems Corporation for PPE supplies and equipment.",State
Health,Idaho,$10 million to the Department of Health and Welfare to address the significant challenges that Long-Term Care Facilities face in caring for their residents during the COVID-19 pandemic.,Governor
Health,Idaho,"$300,000 to train healthcare providers to administer a coronavirus vaccine when it becomes widely available.",Governor
Health,Idaho,$38 million to the Department of Health and Welfare to provide support for Medicaid providers impacted by COVID-19.,Governor
Health,Idaho,$40 million to the Department of Health and Welfare to increase COVID-19 testing capacity throughout Idaho.,Governor
Health,Idaho,$5 million to help hospitals hire additional staff to help care for a crush of COVID-19 patients.,Governor
Health,Idaho,$5.2 million to the Department of Health and Welfare for internal expenses.,Governor
Health,Idaho,"$900,000 to the Department of Health and Welfare to help Idahoans manage their mental health during COVID-19.",Governor
Health,Illinois,"$375 to the Illinois Emergency Management Agency for things like personal protective equipment, or PPE, setting up alternate care sites and testing sites, contact tracing and reimbursing state agencies for their increased operational costs.",Media
Health,Indiana,"$150 million to the Indiana Family and Social Services Administration for residential and home health providers, nursing facilities, safe recovery sites and operational costs.",State
Health,Indiana,$200 million to the Indiana State Health Department for testing and contact tracing costs.,State
Health,Iowa,"$125 million is allocated to the state for COVID-19 related expenses, like the cost of PPE and overtime pay for frontline workers.",Media
Health,Iowa,$28 million in direct relief to Iowa's hospitals and local county health departments to help manage increased needs due to COVID-19.,Governor
Health,Iowa,"$50 million is going toward relief for Iowa health care providers, including home and community based providers, substance use providers, and mental health providers.",Media
Health,Kansas,$100 million to public health initiatives.,Media
Health,Kansas,"$18.5 million for public health facilities with an expectation is that part of this money given will play a role in vaccine distribution, should one be approved.",Media
Health,Kansas,$95 million for statewide COVID-19 testing.,Media
Health,Kentucky,$36.2 million to local and regional health departments.,Governor
Health,Maine,$1 million to ensure the health and safety of residents in congregate settings and to achieve an acceptable baseline of infection prevention and control practices in the short term which can be sustained going forward.,State
Health,Maine,"$31 million for state purchases of personal protective equipment (PPE) for the stockpile managed by the Maine Emergency Management Agency and the Maine Center for Disease Control and Prevention. PPE from the stockpile is distributed to long term care facilities, nursing homes, hospitals, and etc.",State
Health,Michigan,$1.4 million for nursing home inspectors.,Legislation
Health,Michigan,$120 million to enhance pay for health care workers.,Legislation
Health,Michigan,$25 million for PPE.,Legislation
Health,Michigan,$5.1 million for hospital inpatient behavioral health centers.,Legislation
Health,Minnesota,$1.5 million for area agency on aging-enhanced home care benefit.,State
Health,Minnesota,$1.9 million to the Department of Health for seroprevalence studies.,State
Health,Minnesota,$10 million for disability services provider COVI-19 related public health grants.,State
Health,Minnesota,$10 million for testing supplies preauthorization.,State
Health,Minnesota,$14.5 million for Department of Health Operating Reimbursement Request.,State
Health,Minnesota,$18.5 million to the Department of Health for critical care supplies preauthorization.,State
Health,Minnesota,"$191,000 to the Metropolitan Council to deploy staff to the Department of Health.",State
Health,Minnesota,$2.5 million for Tribal Public Health Grants.,State
Health,Minnesota,$20 million for mobile coronavirus testing.,State
Health,Minnesota,$20 million for mobile testing continuation.,State
Health,Minnesota,"$225,000 to MNsure for assistance to uninsured individuals for COVID-19 testing.",State
Health,Minnesota,$243 for long-term care testing supports staffing.,State
Health,Minnesota,$3 million for a nurse triage line.,State
Health,Minnesota,$35 million for COVID-19 Case Investigation and Contact Tracing .,State
Health,Minnesota,"$502,000 to MNsure special open enrollment due to COVID-19.",State
Health,Minnesota,"$53.3 million for COVID-19 Public Health Supports for Child Care, Round 2 October-December.",State
Health,Minnesota,$7 million for ensuring timely access to testing in long-term care.$55 million for additional testing processing capacity.$14.6 million for Valutl/RUCDR COVID Saliva Lab Capacity.,State
Health,Minnesota,$8 million for a case investigation and contact tracing software system.,State
Health,Mississippi,"$10 million will be reallocated from the Budget Contingency Fund to the Mississippi Department of Health to establish the Mississippi ICU Infrastructure Act. The purpose of the program is to provide funds to hospitals to increase treatment capacity related to the COVID-19 pandemic, including intensive care units, isolation rooms, or negative pressure rooms, and related construction and facilitation costs, but not to include administrative expenses or costs or any staffing expenses or costs.",State
Health,Mississippi,"$129.7 million for health care. This includes $80 million for hospitals, and nearly $50 million for other health providers and nonprofits, including food pantries.",Media
Health,Mississippi,$4 million will be reallocated from the Budget Contingency Fund to the State Department of Health for the purpose of reimbursing Mississippi licensed specialty hospitals for their necessary expenditures incurred due to COVID-19.,State
Health,Montana,Public Health Grants are available to local and tribal health departments and urban Indian health centers to help in the response to COVID-19 and to meet the needs of their communities. Each organization is eligible to apply for funding. Current funding available is $5 million.,State
Health,Nevada,"$158 million to support contact tracing, testing and PPE under Nevada's COIVD-19 Outbreak Management Strategy and Concept of Operations (COP) administered through the State Public Health Lab, the Division of Emergency Management and the Division of Public and Behavioral Health. The purpose of COP is to develop an operations surge and sustainment capability to prevent the spread of the virus and mitigate any outbreak as well as develop a strategy to transition state response to shared public and private partnership utilizing Nevada's public and private health care systems.",Governor
Health,Nevada,"$350,000 from the CARES Act 2020 account to purchase Tetanus, Diphtheria and Pertussis as well as Pneumonia vaccines to prevent other respiratory infections to lessen the burden on hospitals during the COVID-19 pandemic.",Legislature
Health,Nevada,"$650,000 to support an enhanced vaccination media campaign with the focus on reducing respiratory illness strain on Nevada's hospital system during the COVID-19 pandemic by ensuring as many Nevadans as possible are protected through vaccinations.",Legislature
Health,New Hampshire,$113.7 million to the Healthcare System Relief Fund.,Governor
Health,New Hampshire,$4 million to the University health systems.,Media
Health,New Hampshire,$5 million for long term care facilities self-directed testing and PPE.,Governor
Health,New Hampshire,$5.4 million to the Mental Health and Substance Use Disorder Support and Relief Fund for Adults.,Governor
Health,New Hampshire,$7 million to hospitals,Media
Health,New Hampshire,$7 million will pay for testing and personal protective equipment at long-term care facilities.,Media
Health,New Hampshire,$98 million to the Long Term Care Stabilization Program.,Governor
Health,New Hampshire,"The Governor has authorized the allocation and expenditure of a total of $100 million in emergency funding from the CARES Act Coronavirus Relief Fund (CRF) to support Healthcare providers with COVID-19 related expenses and lost revenues from March 1, 2020 to December 30, 2020. ",Governor
Health,New Hampshire,"The Governor has authorized the allocation and expenditure of a total of $100 million in emergency funding from the CARES Act Coronavirus Relief Fund ('úflex funds'ù) to support Healthcare providers with COVID-19 related expenses and lost revenues from March 1, 2020, to December 30, 2020. Of the $100 million in allocated funds, $70 million is dedicated for programs for Healthcare Providers and $30 million is dedicated for programs for Long Term Care Providers.",Governor
Health,New Jersey,$1 million to increase in capacity to monitor and enforce anticipated Executive Order in conjunction with Rutgers to educate workers and employees of the relevant COVID?19 health and safety standards,State
Health,New Jersey,"$1 million to the Department of Children and Families provider costs for PPE, cleaning and infection control, and HIPAA compliant technology to facilitate remote services.",State
Health,New Jersey,"$1 million to the Department of Health for the purchase of PPE, naloxone, and making other necessary modifications in Harm Reduction Centers to ensure proper infection control.",State
Health,New Jersey,$10 million to the Department of Health for costs for Long Term Care facility surveys for infection control,State
Health,New Jersey,"$10 million to the Department of Health for funding to help manage the increased applications due to COVID-19 for public assistance programs like Medicaid, WorkFirst NJ and SNAP.",State
Health,New Jersey,$129.1 million to the Department of Health for long-term care staff testing.,State
Health,New Jersey,$14.7 million to the Department of Human Services for hazard pay for medical staff related to COVID-19,State
Health,New Jersey,$18.3 million for psychiatric hospital hazard pay.,State
Health,New Jersey,"$20 million to the Department of Human Services for provider costs for PPE, cleaning and infection control, and HIPAA compliant technology to facilitate remote services.",State
Health,New Jersey,$25 million to the Department of Human Services for community-based mental health and substance use disorder treatment providers that participate in Division of Mental Health and Addiction Services programs.,State
Health,New Jersey,$3.2 million to the Department of Human Services for Housing funding for individuals with Opioid Use Disorder that are experiencing homelessness or are at risk of homelessness due to the COVID-19 pandemic.,State
Health,New Jersey,$369.5 million to human services for social services and healthcare supports.,State
Health,New Jersey,$4 million to the Department of Health for increase in per diem payment rates for Community Care Residences who provided additional care and encountered increased expenses.,State
Health,New Jersey,"$4 million to the Department of Health to mitigate the spread of the virus through developmental centers, technology, and facility upgrades",State
Health,New Jersey,$50.5 million to the Department of health for public health salaries.,State
Health,New Jersey,"$658,000 to the Department of Children and Families for costs associated with need for increased staffing, cleaning, disinfection, PPE and youth support related to COVID-19.",State
Health,New Jersey,"$88.6 million to the Department of Health for testing, contact tracing, and related costs.",State
Health,New Jersey,$9.5 million to the Department of Human Services for testing staff in development centers and group homes.,State
Health,New York,"Durable hospital equipment, such as ventilators, portable x-rays and oxidizers: $895 million",Media
Health,New York,Personal protective equipment: $370 million,Media
Health,New York,Testing: $95 million,Media
Health,North Carolina,$20 million to support local health departments and the State Health Lab.,Governor
Health,North Carolina,$25 million to support enhanced COVID-19 testing and tracing.,Governor
Health,North Carolina,$50 million in health support for underserved communities including rural areas and minority communities. ,Governor
Health,North Carolina,$50 million to provide personal protective equipment and sanitation supplies.,Governor
Health,North Carolina,$95 million to support North Carolina hospitals.,Governor
Health,North Dakota,"$10 million to the six large referral hospitals in Fargo, Bismarck, Grand Forks and Minot. These hospitals have played a critical role in expanding hospital capacity and providing direct COVID-related care as well as maintaining needed medical care throughout the pandemic.",State
Health,North Dakota,"$14.8 million for the Department of Human Services, including $8 million to provide child care emergency operations grants, over $3 million for long-term care and skilled nursing facility environmental upgrades, $1.7 million for community-based behavioral health services, and other program funding.",State
Health,North Dakota,$15 million for hospital staffing to address the current shortage of nurses for COVID-19 beds in primary care and certain critical access hospitals. These funds are in addition to the $10 million allocated by the commission in October for hospital COVID-19 staffing support. Funding is based on the percentage of increased COVID-19 beds in each facility.,State
Health,North Dakota,$2.5 million for a program to provide medical expense assistance for first responders and health care workers who are eligible for expanded worker's compensation benefits under Executive Orders 2020-12 and 2020-12.2. The program applies to first responders and health care workers who tested positive for COVID-19 and required medical treatment but were determined to be ineligible for worker's compensation benefits because the job-related source of their COVID-19 infection could not be pinpointed.,State
Health,North Dakota,"$52.6 million for public health and safety, including lab supplies, personal protective equipment, staff overtime, temporary testing and contact tracing positions, an emergency rent bridge program and child care emergency operations grants.",State
Health,Ohio,"$279 million for Provider Relief to Hospitals, Skilled Nursing Facilities and Others.",Other
Health,Ohio,"$30 million to offer the state's 113 local health departments $200,000 to hire more contact tracers.",Media
Health,Ohio,$40 million to Procure and Distribute Essential Personal Protective Equipment.,Other
Health,Ohio,$40.3 million to the Department of Rehabilitation and Correction to Prevent COVID 19 Spread.,Other
Health,Ohio,$62 million for rural and 'úcritical access'ù hospitals,Media
Health,Ohio,$87.5 million to the Ohio Department of Health to cover costs of expanded COVID-19 testing,Other
Health,Ohio,$89 million for the Ohio Department of Health's COVID 19 Response Operations.,Other
Health,Oregon,$2.4 million to the Oregon Health Authority and the Department of Human Services for one-time COVID-19 baseline testing of long term care facility staff and residents.,Legislation
Health,Oregon,"$25.6 million to enhance behavioral health services for people impacted by COVID-19, with a focus on communities of color, our federally recognized tribes, and vulnerable populations.",Legislation
Health,Oregon,$45 million to the Oregon Health Authority to address the social determinants of health contributing to the disproportionate impact the COVID-19 pandemic has had on Oregon's tribal communities and communities of color.,Legislation
Health,Oregon,$5 million to the Department of Human Services to reimburse long term care providers for routine COVID-19 staff testing costs.,Legislation
Health,Oregon,$50 million for rural hospital stabilization grants.,Legislation
Health,Oregon,$8 million d to the Department of Human Services for Aging and People with Disabilities and Intellectual/Development Disabilities for service rate increases and emergency COVID beds during the COVID-19 pandemic.,Legislation
Health,Oregon,"$94.2 million to the Oregon Health Authority for COVID-19 contact tracing, testing, education and outreach, case management, and supportive services.",Legislation
Health,Pennsylvania,$10 million for critical access hospitals.,Legislation
Health,Pennsylvania,$10 million to the Department of Health for state healthcare centers.,Legislation
Health,Pennsylvania,$4 million to the Department of Health general government operations.,Legislation
Health,Pennsylvania,$95 million for medical care.,Legislation
Health,Rhode Island,"$160 million on medical supplies, surge preparation, contact tracing, testing and other medical costs.",State
Health,South Carolina,$125 million to the hospital relief fund.,Legislation
Health,South Carolina,$42.4 million for statewide testing and monitoring.,Legislation
Health,South Dakota,$115 million to the Community Based Healthcare Providers program which will provide assistance to eligible community providers.,Governor
Health,South Dakota,$15 million to eligible hospitals that are licensed by the state to provide acute inpatient care.,Governor
Health,Utah,$1 million for healthcare outreach and public awareness.,Legislation
Health,Utah,"$15 million to build capacity and improve coronavirus test turnaround times at state medical labs, including purchasing equipment.",Legislation
Health,Utah,$7.4 million for waiting list respite care and equipment.,Legislation
Health,Utah,"$750,000 to increasing staffing and beds in intensive care units.",Legislation
Health,Vermont,"$500,000 VDH for health disparities in populations",Legislation
Health,Vermont,"$8.5 million to an expanded testing program, including new pop-up sites and more regular testing for teachers and school staff. The money comes from unused funds returned by state agencies that didn't need the money or were constrained by federal guidelines from using it.",Media
Health,Virginia,$1.28 million to the Department of Health- Executive Order enforcement,State
Health,Virginia,"$10 million to UVA Medical Center capital, PPE, testing, education",State
Health,Virginia,"$10 million to VCU Hospital capital, PPE, testing, education",State
Health,Virginia,$16 million to the Department of Health - Point of Care Antigen Testing,State
Health,Virginia,$2.8 million to the Department of Behavioral Health and Development Services- hospital census support,State
Health,Virginia,$25 million to the Department of Medical Assistance Services- Retainer payments for Medicaid  DD Waiver Day Support providers,State
Health,Virginia,$3.3 million to the Department of Health - Replace deficit authorization,State
Health,Virginia,$55.6 million to the Department of Medical Assistance Services - Long-term care facilities.,State
Health,Virginia,"$566,309 for a Carilion serology study",State
Health,Virginia,$59 million to the Department of Health - Contract tracing/UVA Equipment,State
Health,Virginia,$60 million to the Department of Medical Assistance Services - Additional hospital reimbursements for eligible COVID-19 costs,State
Health,Virginia,$72 million to the Department of Medical Assistance Services- Hazard pay for home health workers,State
Health,Virginia,$9.2 million to the Department of Medical Assistance Services - PPE for Personal Care Attendants.,State
Health,Washington,$10.2 million to the Department of Health to assist with expenditures beyond appropriated levels for coronavirus response activities related to contact tracing efforts for local health jurisdictions.,State
Health,Washington,"$13.2 million to the Department of Social for increased testing in nursing homes per guidance from the Centers for Medicare and Medicaid Services, which requires testing of all staff and residents every 3-7 days until no new cases are found for 14 days.",State
Health,Washington,"$13.4 million or providers with an emphasis on those who treat Medicaid and state-only populations, including: opioid outpatient providers, evaluation and treatment centers and residential treatment facilities, community mental health centers and other licensed behavioral health therapy providers, primary care providers, including internal medicine and family practice providers, and dentists and dental care providers.",State
Health,Washington,$19.5 million to pay for costs associated with moving patients from hospitals to long-term care settings and purchasing a long-term care facility.,State
Health,Washington,"$204.7 million to pay for state general fund expenses incurred in response to the COVID-19 pandemic, provider rates for the Aging and Long-Term Support Administration and Developmental Disabilities Administration, and coronavirus response activities in the Economic Services Administration.",State
Health,Washington,"$21.9 million for UW Medicine to mitigate the spread of COVID-19, including managing an emergency operations center; procuring personal protective equipment, medical supplies and other equipment; disposing medical waste; cleaning and disinfecting state-owned facilities and equipment; disseminating information to the public; making temporary modifications to health care facilities; and developing triage, intake and testing facilities.",State
Health,Washington,"$260,000 to pay the sales tax portion of the Washington State Hospital Association's (WSHA) purchase of personal protection equipment for hospitals, long-term care facilities, and other providers of services to vulnerable populations.",State
Health,Washington,"$3.5 million for nursing home transition, long-term care staffing, and personal protective equipment (PPE) fit testing for individual providers.",State
Health,Washington,$35.6 million to pay for costs associated with the state and local government response to the coronavirus outbreak.,State
Health,Washington,$4 million for a behavioral health information campaign to address the sustained and lasting impacts to the emotional and mental health of Washingtonians that are a result of living through an extended disaster.,State
Health,Washington,$4.3 million to pay for nursing home beds to isolate residents who have tested positive for COVID-19.,State
Health,Washington,$4.7 million aid to the Tacoma/Pierce County local health jurisdiction with eligible expenses.,State
Health,Washington,$40.9 million for hospital and pediatrician assistance and nursing home transition.,State
Health,Washington,$50 million for case investigation and contact tracing activities.,State
Health,Washington,"$600,000 to transition 150 Medicaid clients out of acute care hospitals into appropriate nursing home settings.",State
Health,Washington,$67.8 million to the Department of Health to assist with expenditures beyond appropriated levels for coronavirus response activities related to testing and contact tracing efforts.,State
Health,West Virginia,$10 million to Fairmont hospital.,Governor
Health,West Virginia,"$350,000 initially to help support disabled individuals through the West Virginia Statewide Independent Living Council.",Governor
Health,West Virginia,"$40 million in testing, sanitation supplies, and more for the West Virginia National Guard.",Governor
Health,West Virginia,$74 million for COVID-19 testing efforts through the Department of Health and Human Resources.,Governor
Health,West Virginia,"$800,000 for a mobile testing unit for CAMC.",Governor
Health,Wisconsin,$1 million to be invested in statewide health insurance navigator organization to help residents purchase health insurance on the federal marketplace or to enroll in BadgerCare,Governor
Health,Wisconsin,$150 million for PPE.,State
Health,Wisconsin,$260 million to expand testing.,State
Health,Wisconsin,$40 million in direct payments to hospitals.,State
Health,Wisconsin,$40 million on ventilators.,State
Health,Wisconsin,$445 million for a hospital and community preparedness reserve.,State
Health,Wisconsin,$75 million for contact tracing.,State
Health,Wyoming,$15 million for increased diagnostic testing and contact tracing capabilities.,State
Health,Wyoming,$30 million for health testing and tracing.,State
Higher Education,Alabama,$16 million for public universities remote instruction and learning program.,State
Higher Education,Alabama,$20 million for the Independent Colleges Program.,State
Higher Education,Alabama,$27.3 million for community colleges remote instruction and learning program.,State
Higher Education,Alabama,$50 million for colleges and universities.,State
Higher Education,Alaska,"$900,380 for economic relief to Alaska student loan borrowers",State
Higher Education,Arizona,"$2 million for the Arizona Virtual Teacher Institute, a partnership among Arizona State University, the Arizona Department of Education, and the non-profit Helios Education Foundation.",State
Higher Education,Arizona,"$8 million to the universities for testing, surveillance, and other response efforts.",State
Higher Education,Arkansas,"$28.2 million To Reopen Arkansas Higher Education Institutions - proposal on behalf of all public and private higher education institutions to create robust testing protocol, contract tracing system and supplies needed to ensure clean and safe environment for students, faculty and staff.",State
Higher Education,Colorado,$450 million to the Colorado Department of Higher Education (CDHE) for expenditures associated with actions to facilitate compliance with COVID-19-related public health measures and with the provision of economic support in connection with the COVID-19 emergency to stimulate the economy by supporting Colorado's workforce through increasing student retention and completions at state institutions of public higher education.,State
Higher Education,Connecticut,"$25 million to Connecticut State Colleges and Universities to assist with immediate response expenses including PPE and supplies, direct facility costs such as cleaning and sanitizing buildings, housing accommodations for students, and to reimburse the system for medical equipment that was donated to assist with the pandemic response.",State
Higher Education,Hawaii,$11 million to the University of Hawaii for COVID-19 related expenditures.,State
Higher Education,Idaho,$6 million to the State Board of Education for higher education operating cost increases due to COVID-19.,Governor
Higher Education,Maine,"$9 million to the University of Maine System, Maine Maritime Academy and the Maine Community College System for costs associated with COVID-19 testing, screening applications, PPE and quarantine-related costs. Provides funding to Maine Maritime Academy to improve/upgrade ventilation in Curtis Hall.",State
Higher Education,Maryland,"$90 million will be allocated to reimburse state-supported universities for COVID-19 related expenses, including support for their public safety activities.",Governor
Higher Education,Michigan,$200 million to higher education.,Media
Higher Education,Mississippi,$10 million for private schools and colleges.,Media
Higher Education,Mississippi,$50 million for community colleges.,Media
Higher Education,Mississippi,$50 million for universities.,Media
Higher Education,Missouri,$80 million to support for safe return to in-person instruction and campus life for higher education institutions. These funds will be used to reimburse public institutions for costs associated with preparing to return to in-person instruction and campus life in the fall.,Governor
Higher Education,Missouri,Gov. Parson directs $26 million in CARES funding to higher education.,Media
Higher Education,New Hampshire,$41 million to the New Hampshire Higher Education COVID-10 Response Fund for the University System of New Hampshire and the Community College System of New Hampshire.,Governor
Higher Education,New Hampshire,$9.7 million to the Safer Scholars -COVID-19 Campus Modification program.,Governor
Higher Education,New Jersey,"$225 million to the Office of Higher Education for increased higher education costs due to COVID-19, including costs related to social distancing, remote learning, and student refunds",State
Higher Education,New York,"Quarantine support, much of it for students brought home from studying abroad: $11 million",Media
Higher Education,New York,SUNY and CUNY refunds to students for room and board and other costs: $60 million,Media
Higher Education,North Carolina,"$85 million for vaccine development, antibody testing, community testing, and other COVID-19-related research at Duke University, UNC-Chapel Hill, East Carolina University, Campbell University, and Wake Forest University.",Governor
Higher Education,North Dakota,"$44.5 million for protective and health supplies, virtual simulators, classroom and facility restructuring, technology needs, telework equipment and software, instructional resources, targeted marketing and staff overtime.",State
Higher Education,North Dakota,$5.2 million for the North Dakota University System for environmental and education modifications in response to COVID-19.,State
Higher Education,Ohio,$100 million to public colleges and universities,Media
Higher Education,Ohio,$205 million for Ohio's Institutions of Higher Education.,Other
